cranberry jell-o|gelatin;cranberry
pepper vodka|vodka;flavoured;pepper
pear juice|juice;pear
Rose's&reg; grenadine syrup|syrup;grenadine
Calpis&reg; soda syrup|soda;syrup
Pedro Ximinez sherry|wine;sherry
Jim Beam&reg; bourbon whiskey|whiskey;bourbon
cranberry juice|juice;cranberry
Chivas Regal&reg; Scotch whisky|whiskey;scotch
apple rum|rum;flavoured;apple
Sambuca di Amore&reg; liqueur|liqueur;sambuca;black
Haagen-Dazs&reg; vanilla ice cream|ice cream;vanilla
DeKuyper&reg; coffee liqueur|liqueur;coffee
Bushmills&reg; Irish whiskey|whiskey;irish
pickle|pickle
Martini & Rossi&reg; dry vermouth|vermouth;dry
DeKuyper&reg; cherry brandy|brandy;flavoured;cherry
Mozart&reg; Original chocolate liqueur|liqueur;chocolate
creamer|cream
Cutty Black&reg; Scotch whisky|whiskey;scotch
Bartlett pear|fruit;pear
Oliphant&reg; orange vodka|vodka;flavoured;orange
bloody mary mix|mix;bloody mary
Monin&reg; lime syrup|syrup;lime
maple syrup|syrup;maple
dry dill|herb;dill;dry
Texsun Orange Pineapple Juice|juice;orange-pineapple
cherry liqueur|liqueur;cherry
Smirnoff&reg; Lemon Twist vodka|vodka;flavoured;lemon
Sprite&reg; Zero soda|soda;lime
Vernors&reg; Original ginger soda|soda;ginger
cinnamon sugar|sugar;cinnamon
Seagram's&reg; gin|gin;extra dry
Mozart&reg; Black chocolate liqueur|liqueur;chocolate;black
banana schnapps|schnapps;banana
oranges|fruit;orange
Continental&reg; cherry advocaat liqueur|liqueur;cherry advocaat
Thunderbird&reg; Red Label wine|wine;red
Falerno del Massico&reg; white wine|wine;white
Finlandia&reg; lime vodka|vodka;flavoured;lime
blueberries|fruit;blueberry
Kahlua&reg; Especial coffee liqueur|liqueur;coffee
vanilla liqueur|liqueur;vanilla
vinegar|vinegar
Welch's&reg; grape juice|juice;grape
peach brandy|brandy;flavoured;peach
Aurum&reg; liqueur|liqueur;aurum
Taboo&reg;|liqueur;exotic fruit
Steinhaeger&reg; gin|gin;flavoured;juniper berry
Melloni&reg; melon liqueur|liqueur;melon
asafoetida|spice;asafoetida
Casa Noble&reg; gold tequila|tequila;gold
Barbados dark rum|rum;dark
condensed milk|milk;condensed
Canada Dry&reg; orange soda|soda;orange
Kronenberg 1664&reg; lager|beer;lager
carrot juice|juice;carrot
Carlos Rossi&reg; red sangria|wine;red
blue sambuca|liqueur;sambuca;black
cherry advocaat liqueur|liqueur;cherry advocaat
Don Q&reg; 151 rum|rum;overproof
Maui&reg; Blue Hawaiian schnapps|schnapps;passion fruit
red cayenne peppers|pepper;red cayenne
DeKuyper&reg; Bluesberry schnapps|schnapps;blueberry
Martini & Rossi&reg; sweet vermouth|vermouth;sweet
Vimto&reg; blackcurrant squash|squash;blackcurrant
Babycham&reg; Champagne|wine;champagne
aguardiente brandy|brandy;aguardiente
Seagram's&reg; vanilla vodka|vodka;flavoured;vanilla
Sam's Choice&reg; Mountain Lightning citrus soda|soda;citrus
Molinari&reg; sambuca extra|liqueur;sambuca;gold
cherry juice|juice;cherry
licorice|spice;licorice
byrrh wine|wine;red
Icewine|wine;ice
Alize&reg; liqueur|liqueur;passion fruit
gin|gin
blended bourbon whiskey|whiskey;bourbon
Welch's&reg; Mango Twist fruit juice|juice;mango
Kool-Aid&reg; Tropical Punch mix|powder;tropical fruit
Mountain Dew&reg; citrus soda|soda;citrus
Licor Beirao&reg; herbal liqueur|liqueur;herbal
orange juice|juice;orange
popsicle|ice pop
Finlandia&reg; pineapple vodka|vodka;flavoured;pineapple
lemons|fruit;lemon
banana syrup|syrup;banana
carrot|vegetable;carrot
arak|brandy;arak
Lipton&reg; Brisk iced tea
Mountain Berry Kool-Aid|powder;berry
Perrier&reg; lemon soda water|soda;lemon
sloe gin|liqueur;sloe berry
cranberry schnapps|schnapps;cranberry
skimmed milk|milk;skimmed
Semtex Forte&reg;|energy
cookies|cookie
sweet and sour sauce|sauce;sweet and sour
horseradish|vegetable;horseradish
lime gin|gin;flavoured;lime
Pimm's&reg; gin|liqueur;citrus
Banker's Club&reg; rum
dill juice|juice;dill
Old Overholt&reg; rye whiskey|whiskey;rye
soda|soda
peanut butter|other;butter;peanut
bourbon whiskey|whiskey;bourbon
amaretto cream liqueur|liqueur;almond;cream
strawberry ice cream|ice cream;strawberry
Gatorade&reg; Riptide Rush energy drink|energy
Kool-Aid&reg; Kickin' Kiwi-Lime mix|powder;kiwi-lime
lychee|lychee
Romana&reg; white sambuca|liqueur;sambuca;white
Ice 101&reg; peppermint schnapps|schnapps;peppermint
Frangelico&reg; hazelnut liqueur|liqueur;hazelnut
Coffeemate&reg;|powder;creamer
Vault&reg; Zero|soda;citrus
cherry vodka|vodka;flavoured;cherry
orange cognac liqueur|liqueur;orange
Thai tea|tea;thai
Dom Perignon&reg; Champagne|wine;champagne
Mexican chocolate|chocolate
Currant|fruit;currant
Offley Rich&reg; tawny port|wine;red;port
Canada Dry&reg; Tahitian Treat punch|punch;fruit
lemon rum|rum;flavoured;lemon
Creme de peche|liqueur;peach
Dole&reg; pineapple-orange juice|juice;orange-pineapple
Gosling's&reg; black rum|rum;dark
Schnapps|schnapps
Spanish brandy|brandy
Seagram's&reg; Raspberry Cooler|wine;cooler;raspberry
Buffalo Rock&reg; ginger ale|ginger ale
Fire and Ice&reg; vodka|vodka
cherry limeade|limeade;cherry
Heering&reg; cherry liqueur|liqueur;cherry
coconut water|water;coconut
Reunite Lambrusco|wine;red
white grape juice|juice;white grape
Kentucky Tavern&reg; bourbon whiskey|whiskey;bourbon
NuGrape&reg; soda|soda;grape
pisco brandy|brandy
espresso|coffee;espresso
Bawls&reg; energy drink|energy
Kerns Pineapple-Coconut Nectar\juice;pineapple-coconut
Ocean Spray&reg; pineapple juice|juice;pineapple
